model,feature_set,fit_seconds,dev_inference_seconds,accuracy,balanced_accuracy,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,mcc,cohen_kappa,minority_recall_mean,roc_auc_macro_ovr,average_precision_macro,average_precision_micro
Logistic Regression OVR - Balanced,text_numeric,41.80163380000158,0.0975744999886956,0.6757563694267515,0.5615464275472531,0.6757563694267515,0.6757563694267515,0.6757563694267515,0.5135136981595024,0.5615464275472531,0.5310228700560059,0.6993390666698446,0.6757563694267515,0.6844538047265124,0.48493456330428697,0.4825647744295919,0.4869545659019343,0.8919738041388113,0.529405895878521,0.7559586078220742
Logistic Regression OVR - Balanced - Text Only,text_only,9.347161900019273,0.08284420002019033,0.6733678343949044,0.5558221613285793,0.6733678343949044,0.6733678343949044,0.6733678343949044,0.5082459894756729,0.5558221613285793,0.5255564336991276,0.6968643215998156,0.6733678343949044,0.6819305676350521,0.48157033794047915,0.47913417987987283,0.4769830559304243,0.8918414501951256,0.5269438978705577,0.7513456718647812
Ridge Balanced - Text Only,text_only,3.985547199990833,0.0669208999897819,0.6466958598726115,0.5579563639293462,0.6466958598726115,0.6466958598726115,0.6466958598726115,0.47572087434620985,0.5579563639293462,0.5024542520468179,0.6814205052749677,0.6466958598726115,0.6586435146307759,0.45110428886484893,0.44709514767338643,0.5053981106612685,0.8581554724161808,0.4953055306247702,0.6792117145017206
Ridge Balanced - Text + Numeric,text_numeric,12.424330399982864,0.06222580000758171,0.6373407643312102,0.5601757863294551,0.6373407643312102,0.6373407643312102,0.6373407643312102,0.46880624353589323,0.5601757863294551,0.49820346314285463,0.6753803782699664,0.6373407643312102,0.6499374933245111,0.4409281251019017,0.43620439103522324,0.5149197780776728,0.8589355256484396,0.4970880752936146,0.679264120120847
SGD Logistic - Balanced,text_numeric,1.7383666000096127,0.055801100010285154,0.6373407643312102,0.5428085031023528,0.6373407643312102,0.6373407643312102,0.6373407643312102,0.4864192920728207,0.5428085031023528,0.49409994026553333,0.6807002833253213,0.6373407643312102,0.6524007060294645,0.43469781308883426,0.42963947769773614,0.4746588693957115,,,
SGD Linear SVM - Balanced,text_numeric,1.453249699989101,0.09105990000534803,0.6277866242038217,0.5362209330755068,0.6277866242038217,0.6277866242038217,0.6277866242038217,0.47942500246545805,0.5362209330755068,0.4823527928345721,0.6845602905667166,0.6277866242038217,0.6471582873475793,0.4303640426176178,0.4233136373549725,0.46318788424051577,0.8401271536448865,0.47528518942939896,0.6120476493911197
ComplementNB,text_only,0.04631820000940934,0.08140309998998418,0.6560509554140127,0.4794107164020948,0.6560509554140127,0.6560509554140127,0.6560509554140127,0.4834403250898252,0.4794107164020948,0.4718553804567036,0.6631624044791787,0.6560509554140127,0.6575590301576607,0.4399010402710793,0.4388681329719084,0.3514769830559305,0.8164733089168706,0.49154748139890825,0.693205211739898
SGD Logistic - Unweighted,text_numeric,3.455880599998636,0.07169889999204315,0.6875,0.38196440744300314,0.6875,0.6875,0.6875,0.5323628767293394,0.38196440744300314,0.4258080342455101,0.6707685758183082,0.6875,0.6604094050581051,0.4309825908272471,0.4119269307461443,0.2082021292547608,0.8319567704787598,0.4702478903144482,0.6943463615403574
Dummy Most-Frequent,text_only,0.0011678000155370682,0.031976800004485995,0.5768312101910829,0.16666666666666666,0.5768312101910829,0.5768312101910829,0.5768312101910829,0.09613853503184715,0.16666666666666666,0.12193890431709165,0.3327342450505092,0.5768312101910829,0.4220289944796157,0.0,0.0,0.0,0.5,0.1666666666666667,0.4032623766853287
